"Which high school curriculum did you follow?
","If you studied the UAE Curriculum, which track did you follow?
",Which subjects did you study in high school? (Select all that apply),What was your IELTS/TOEFL score?,What type of career do you envision?,"Do you prefer a technical, creative, or business-oriented role?
","Would you like to work in a research, corporate, startup, or freelance environment?",How important is job stability in your career choice?,Do you prefer working with people or working with technology?,"Do you enjoy working on structured tasks with clear guidelines?
","Do you enjoy hands-on work (e.g., lab experiments, building things)?
","Do you prefer theoretical learning, practical work, or a mix of both?
",Would you rather work on individual projects or team-based assignments?,"Do you prefer exams, projects, or research-based assessments?",How comfortable are you with subjects like math and science?,"Are you looking for a flexible program where you can specialize later?
","Would you prefer a structured degree (e.g., Computer Science, Biotech- nology) or one with multiple pathways (e.g., Business, Media)?",Would you like a program with strong industry connections and internship opportunities?,"Do you see yourself working in an office, lab, outdoors, or remotely?
",Do you want a job with a predictable routine or a dynamic work environ- ment?,How important is global career mobility for you?,Do you want a career that allows remote work?
UAE Curriculum,Scientific,Computer Science;Media,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Researcher,Creative,Research,Very Important,Mostly with technology,Yes,Yes,A mix of both,Mostly team-based,Projects,Somewhat comfortable,Yes,Flexible,Yes,Office,Very predictable,Important,Yes
Non-UAE Curriculum,Literary,Business;Arts;Media;,Below 5.0 (IELTS) / Below 500 (TOEFL-PBT) / Below 61 (TOEFL- IBT),Researcher,Business-oriented,Research,Neutral,A mix of both,Yes,Yes,A mix of both,A mix of both,Projects,Neutral,No,Flexible,No,Office,Neutral,Important,Yes
UAE Curriculum,Literary,Biology;Chemistry;Physics;Math;Computer Science;,Above 6.0 (IELTS) / Above 550 (TOEFL-PBT) / Above 79 (TOEFL- IBT),Freelancer / Independent worker,Creative,Freelance,Very Important,A mix of both,Yes,Yes,Practical,A mix of both,Exams,Neutral,Yes,Flexible,Yes,Office,Somewhat dynamic,Very important,Yes
American ,Scientific,Physics;Chemistry;Biology;Math;Computer Science;Arts,Above 6.0 (IELTS) / Above 550 (TOEFL-PBT) / Above 79 (TOEFL- IBT),Researcher,Creative,Research,Important,A mix of both,Yes,Yes,A mix of both,A mix of both,Research,Very comfortable,Yes,Structured,Yes,Lab,Neutral,Somewhat important,Yes
UAE Curriculum,Scientific,Biology;Math;Media;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Freelancer / Independent worker,Creative,Freelance,Somewhat important,Mostly with technology,Yes,Yes,Practical,Mostly team-based,Projects,Very comfortable,Yes,Structured,No,Remote,Neutral,Important,Yes
Non-UAE Curriculum,Scientific,Physics;Chemistry;Biology;Math;,Below 5.0 (IELTS) / Below 500 (TOEFL-PBT) / Below 61 (TOEFL- IBT),Corporate professional,Technical,Corporate,Important,Mostly with technology,Yes,Yes,Practical,Mostly team-based,Projects,Somewhat comfortable,Yes,Flexible,Yes,Office,Somewhat predictable,Somewhat important,Yes
UAE Curriculum,Literary,Physics;Chemistry;Biology;Math;Business;Arts;,Below 5.0 (IELTS) / Below 500 (TOEFL-PBT) / Below 61 (TOEFL- IBT),Corporate professional,Creative,Corporate,Not important,Mostly with people,Yes,Yes,A mix of both,Mostly team-based,Exams,Somewhat uncomfortable,Yes,Structured,Yes,Office,Neutral,Somewhat important,Yes
UAE Curriculum,Scientific,Physics;Chemistry;Math;Computer Science;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Freelancer / Independent worker,Creative,Corporate,Neutral,A mix of both,Yes,Yes,A mix of both,A mix of both,Projects,Neutral,Yes,Flexible,Yes,Remote,Very predictable,Somewhat important,Yes
UAE Curriculum,Scientific,Physics;Chemistry;Biology;Math;Computer Science;Arts;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Corporate professional,Technical,Freelance,Important,A mix of both,Yes,Yes,A mix of both,A mix of both,Projects,Neutral,Yes,Flexible,Yes,Office,Neutral,Important,Yes
UAE Curriculum,Scientific,Physics;Chemistry;Biology;Math,Above 6.0 (IELTS) / Above 550 (TOEFL-PBT) / Above 79 (TOEFL- IBT),Corporate professional,Business-oriented,Freelance,Very Important,A mix of both,Yes,Yes,A mix of both,A mix of both,Projects,Somewhat comfortable,Yes,Structured,Yes,Office,Neutral,Very important,Yes
UAE Curriculum,Literary,Math;Computer Science;,Below 5.0 (IELTS) / Below 500 (TOEFL-PBT) / Below 61 (TOEFL- IBT),Corporate professional,Business-oriented,Corporate,Important,Mostly with people,Yes,Yes,Practical,Mostly team-based,Projects,Somewhat uncomfortable,Yes,Structured,Yes,Outdoors,Very predictable,Important,Yes
Non-UAE Curriculum,Literary,Business;,Above 6.0 (IELTS) / Above 550 (TOEFL-PBT) / Above 79 (TOEFL- IBT),Corporate professional,Business-oriented,Freelance,Very Important,Mostly with people,No,Yes,Theoretical,Mostly team-based,Research,Somewhat uncomfortable,Yes,Structured,Yes,Office,Very predictable,Somewhat important,No
UAE Curriculum,Scientific,Physics;Chemistry;Biology;Math,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Freelancer / Independent worker,Creative,Freelance,Somewhat important,Mostly with people,Yes,Yes,A mix of both,Mostly team-based,Projects,Very comfortable,Yes,Flexible,Yes,Remote,Somewhat dynamic,Important,Yes
UAE Curriculum,Literary,Physics;Biology;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Entrepreneur / Startup founder,Creative,Startup,Somewhat important,Mostly with technology,Yes,No,Practical,Mostly team-based,Projects,Somewhat uncomfortable,No,Flexible,No,Outdoors,Somewhat predictable,Not important,No
UAE Curriculum,Scientific,Biology;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Corporate professional,Creative,Corporate,Neutral,A mix of both,No,Yes,Practical,A mix of both,Research,Very comfortable,Yes,Structured,No,Lab,Somewhat predictable,Very important,Yes
UAE Curriculum,Literary,Chemistry;Media;,Below 5.0 (IELTS) / Below 500 (TOEFL-PBT) / Below 61 (TOEFL- IBT),Freelancer / Independent worker,Creative,Corporate,Neutral,Mostly with technology,Yes,Yes,Theoretical,Mostly team-based,Projects,Somewhat uncomfortable,No,Structured,Yes,Outdoors,Somewhat predictable,Very important,No
UAE Curriculum,Scientific,Physics;Chemistry;Biology;Math,Below 5.0 (IELTS) / Below 500 (TOEFL-PBT) / Below 61 (TOEFL- IBT),Entrepreneur / Startup founder,Business-oriented,Freelance,Very Important,A mix of both,Yes,Yes,A mix of both,A mix of both,Projects,Somewhat comfortable,Yes,Structured,Yes,Office,Neutral,Important,No
UAE Curriculum,Scientific,Chemistry;Biology;Business;Media;Arts;,Below 5.0 (IELTS) / Below 500 (TOEFL-PBT) / Below 61 (TOEFL- IBT),Corporate professional,Technical,Corporate,Somewhat important,Mostly with people,Yes,Yes,Theoretical,Mostly individual,Projects,Somewhat uncomfortable,No,Structured,No,Lab,Neutral,Somewhat important,Yes
UAE Curriculum,Scientific,Biology;,Above 6.0 (IELTS) / Above 550 (TOEFL-PBT) / Above 79 (TOEFL- IBT),Corporate professional,Technical,Freelance,Very Important,Mostly with technology,No,No,Practical,Mostly team-based,Projects,Somewhat uncomfortable,No,Structured,Yes,Outdoors,Somewhat predictable,Very important,No
UAE Curriculum,Literary,Biology;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Freelancer / Independent worker,Technical,Startup,Neutral,Mostly with technology,No,Yes,Practical,A mix of both,Exams,Somewhat comfortable,Yes,Flexible,No,Remote,Very predictable,Somewhat important,Yes
UAE Curriculum,Literary,Chemistry,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Corporate professional,Business-oriented,Freelance,Important,Mostly with people,Yes,Yes,Theoretical,Mostly team-based,Projects,Neutral,Yes,Flexible,No,Office,Very predictable,Somewhat important,No
UAE Curriculum,Literary,Biology;Chemistry;Business;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Entrepreneur / Startup founder,Creative,Startup,Important,Mostly with people,Yes,Yes,Practical,Mostly team-based,Projects,Neutral,Yes,Structured,Yes,Office,Somewhat predictable,Somewhat important,Yes
UAE Curriculum,Scientific,Physics;Chemistry;Biology;Math;Computer Science;,Below 5.0 (IELTS) / Below 500 (TOEFL-PBT) / Below 61 (TOEFL- IBT),Entrepreneur / Startup founder,Technical,Research,Very Important,A mix of both,Yes,Yes,A mix of both,A mix of both,Research,Neutral,Yes,Flexible,Yes,Office,Neutral,Important,No
Non-UAE Curriculum,Scientific,Physics;Chemistry;Biology;Math;Computer Science;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Freelancer / Independent worker,Creative,Corporate,Important,A mix of both,Yes,Yes,Practical,Mostly team-based,Projects,Very comfortable,Yes,Flexible,Yes,Office,Very dynamic,Important,Yes
UAE Curriculum,Literary,Math;Chemistry;Business,Below 5.0 (IELTS) / Below 500 (TOEFL-PBT) / Below 61 (TOEFL- IBT),Researcher,Technical,Research,Important,A mix of both,Yes,Yes,Theoretical,A mix of both,Projects,Somewhat comfortable,Yes,Flexible,Yes,Remote,Somewhat dynamic,Important,Yes
