Id,Start time,Completion time,Email,Name,"Which high school curriculum did you follow?
","If you studied the UAE Curriculum, which track did you follow?
",Which subjects did you study in high school? (Select all that apply),What was your IELTS/TOEFL score?,Which field interests you the most?,What type of career do you envision?,"Do you prefer a technical, creative, or business-oriented role?
","Would you like to work in a research, corporate, startup, or freelance environment?",How important is job stability in your career choice?,Do you prefer working with people or working with technology?,"Do you enjoy working on structured tasks with clear guidelines?
","Do you enjoy hands-on work (e.g., lab experiments, building things)?
","Do you prefer theoretical learning, practical work, or a mix of both?
",Would you rather work on individual projects or team-based assignments?,"Do you prefer exams, projects, or research-based assessments?",How comfortable are you with subjects like math and science?,"Are you looking for a flexible program where you can specialize later?
","Would you prefer a structured degree (e.g., Computer Science, Biotech- nology) or one with multiple pathways (e.g., Business, Media)?",Would you like a program with strong industry connections and internship opportunities?,"Do you see yourself working in an office, lab, outdoors, or remotely?
",Do you want a job with a predictable routine or a dynamic work environ- ment?,How important is global career mobility for you?,Do you want a career that allows remote work?,best_fit
55,2/12/2025 9:58,2/12/2025 10:56,anonymous,,Non-UAE Curriculum,Scientific,Chemistry;Biology;Physics;Math;Computer Science;,Above 6.0 (IELTS) / Above 550 (TOEFL-PBT) / Above 79 (TOEFL- IBT),Science,Researcher,Technical,Research,Important,A mix of both,Yes,Yes,A mix of both,A mix of both,Projects,Very comfortable,Yes,Structured,Yes,Lab,Somewhat dynamic,Important,Yes,BACHELOR OF SCIENCE IN BIOTECHNOLOGY
56,2/12/2025 11:14,2/12/2025 11:16,anonymous,,UAE Curriculum,Scientific,Math;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Engineering,Entrepreneur / Startup founder,Creative,Startup,Important,Mostly with technology,Yes,Yes,A mix of both,A mix of both,Projects,Somewhat comfortable,Yes,Flexible,Yes,Remote,Somewhat dynamic,Important,Yes,BACHELOR OF SCIENCE IN COMPUTER SCIENCE
57,2/12/2025 17:42,2/12/2025 17:43,anonymous,,Non-UAE Curriculum,Scientific,Physics;Chemistry;Biology;Math;Computer Science;Business;Media;Arts;,Above 6.0 (IELTS) / Above 550 (TOEFL-PBT) / Above 79 (TOEFL- IBT),Technology,Entrepreneur / Startup founder,Business-oriented,Startup,Somewhat important,A mix of both,Yes,Yes,A mix of both,Mostly team-based,Projects,Neutral,No,Structured,Yes,Lab,Somewhat predictable,Important,Yes,BACHELOR OF SCIENCE IN COMPUTER SCIENCE
58,2/12/2025 17:43,2/12/2025 17:43,anonymous,,Non-UAE Curriculum,Literary,Biology;,Above 6.0 (IELTS) / Above 550 (TOEFL-PBT) / Above 79 (TOEFL- IBT),Business,Entrepreneur / Startup founder,Business-oriented,Corporate,Neutral,A mix of both,No,Yes,Theoretical,A mix of both,Research,Very comfortable,No,Structured,Yes,Outdoors,Neutral,Important,Yes,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION
59,2/12/2025 17:43,2/12/2025 17:44,anonymous,,Non-UAE Curriculum,Scientific,Physics;,Below 5.0 (IELTS) / Below 500 (TOEFL-PBT) / Below 61 (TOEFL- IBT),Business,Corporate professional,Creative,Freelance,Neutral,A mix of both,Yes,Yes,Practical,Mostly individual,Projects,Somewhat uncomfortable,No,Flexible,No,Office,Very dynamic,Important,Yes,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION
60,2/12/2025 17:44,2/12/2025 17:44,anonymous,,Non-UAE Curriculum,Scientific,Chemistry;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Business,Researcher,Business-oriented,Startup,Important,Mostly with people,No,No,Theoretical,Mostly team-based,Research,Neutral,No,Structured,Yes,Outdoors,Somewhat predictable,Not important,No,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION
61,2/12/2025 17:45,2/12/2025 17:45,anonymous,,UAE Curriculum,Scientific,Biology;,Above 6.0 (IELTS) / Above 550 (TOEFL-PBT) / Above 79 (TOEFL- IBT),Arts,Corporate professional,Technical,Freelance,Very Important,Mostly with technology,No,No,Practical,Mostly team-based,Projects,Somewhat uncomfortable,No,Structured,Yes,Outdoors,Somewhat predictable,Very important,No,BACHELOR OF ARTS IN MASS COMMUNICATION
62,2/12/2025 17:46,2/12/2025 17:46,anonymous,,Non-UAE Curriculum,Literary,Chemistry;,Above 6.0 (IELTS) / Above 550 (TOEFL-PBT) / Above 79 (TOEFL- IBT),Technology,Corporate professional,Creative,Corporate,Neutral,Mostly with technology,Yes,Yes,Practical,Mostly individual,Projects,Somewhat uncomfortable,No,Structured,Yes,Lab,Very predictable,Somewhat important,Yes,BACHELOR OF SCIENCE IN COMPUTER SCIENCE
63,2/12/2025 17:46,2/12/2025 17:47,anonymous,,UAE Curriculum,Scientific,Physics;Media;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Business,Corporate professional,Creative,Startup,Somewhat important,Mostly with technology,No,No,Practical,Mostly team-based,Research,Somewhat uncomfortable,No,Flexible,Yes,Lab,Somewhat dynamic,Somewhat important,Yes,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION
64,2/12/2025 17:46,2/12/2025 17:47,anonymous,,UAE Curriculum,Scientific,Physics;Chemistry;Biology;,Above 6.0 (IELTS) / Above 550 (TOEFL-PBT) / Above 79 (TOEFL- IBT),Science,Corporate professional,Creative,Research,Somewhat important,Mostly with technology,Yes,Yes,A mix of both,A mix of both,Research,Neutral,Yes,Structured,Yes,Office,Somewhat predictable,Somewhat important,Yes,BACHELOR OF SCIENCE IN BIOTECHNOLOGY
65,2/12/2025 17:47,2/12/2025 17:47,anonymous,,UAE Curriculum,Literary,Chemistry;,Above 6.0 (IELTS) / Above 550 (TOEFL-PBT) / Above 79 (TOEFL- IBT),Business,Corporate professional,Technical,Corporate,Important,Mostly with technology,No,Yes,Practical,Mostly team-based,Research,Somewhat uncomfortable,Yes,Flexible,Yes,Lab,Neutral,Important,Yes,BACHELOR OF SCIENCE IN BIOTECHNOLOGY
66,2/12/2025 17:47,2/12/2025 17:47,anonymous,,UAE Curriculum,Literary,Biology;Math;Computer Science;Chemistry;Media;Arts;Business;Physics;,Above 6.0 (IELTS) / Above 550 (TOEFL-PBT) / Above 79 (TOEFL- IBT),Science,Corporate professional,Creative,Corporate,Not important,Mostly with people,Yes,Yes,Practical,A mix of both,Research,Neutral,Yes,Structured,Yes,Office,Somewhat predictable,Somewhat important,Yes,BACHELOR OF ARTS IN MASS COMMUNICATION
67,2/12/2025 17:47,2/12/2025 17:48,anonymous,,UAE Curriculum,Scientific,Biology;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Arts,Entrepreneur / Startup founder,Business-oriented,Freelance,Somewhat important,Mostly with technology,No,Yes,Practical,Mostly team-based,Projects,Somewhat uncomfortable,Yes,Flexible,Yes,Outdoors,Somewhat predictable,Important,Yes,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION
68,2/12/2025 17:47,2/12/2025 17:48,anonymous,,UAE Curriculum,Scientific,Physics;Biology;Chemistry;Math;Computer Science;,Above 6.0 (IELTS) / Above 550 (TOEFL-PBT) / Above 79 (TOEFL- IBT),Science,Researcher,Creative,Corporate,Somewhat important,Mostly with technology,Yes,Yes,A mix of both,A mix of both,Projects,Neutral,Yes,Structured,Yes,Office,Somewhat predictable,Somewhat important,Yes,BACHELOR OF SCIENCE IN BIOTECHNOLOGY
69,2/12/2025 17:48,2/12/2025 17:48,anonymous,,UAE Curriculum,Scientific,Chemistry;Business;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Business,Corporate professional,Creative,Startup,Important,Mostly with technology,No,Yes,Theoretical,A mix of both,Projects,Somewhat uncomfortable,Yes,Structured,Yes,Lab,Somewhat predictable,Important,Yes,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION
70,2/12/2025 17:48,2/12/2025 17:49,anonymous,,UAE Curriculum,Scientific,Math;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Business,Researcher,Business-oriented,Freelance,Very Important,Mostly with people,Yes,No,A mix of both,A mix of both,Projects,Somewhat uncomfortable,No,Structured,No,Lab,Somewhat predictable,Somewhat important,Yes,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION
71,2/12/2025 17:49,2/12/2025 17:49,anonymous,,Non-UAE Curriculum,Literary,Biology;,Above 6.0 (IELTS) / Above 550 (TOEFL-PBT) / Above 79 (TOEFL- IBT),Technology,Corporate professional,Technical,Corporate,Neutral,Mostly with technology,No,Yes,Theoretical,A mix of both,Exams,Very comfortable,Yes,Structured,Yes,Office,Neutral,Somewhat important,Yes,BACHELOR OF SCIENCE IN COMPUTER SCIENCE
72,2/12/2025 17:50,2/12/2025 17:50,anonymous,,UAE Curriculum,Literary,Biology;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Arts,Freelancer / Independent worker,Technical,Startup,Neutral,Mostly with technology,No,Yes,Practical,A mix of both,Exams,Somewhat comfortable,Yes,Flexible,No,Remote,Very predictable,Somewhat important,Yes,BACHELOR OF SCIENCE IN COMPUTER SCIENCE
73,2/12/2025 17:50,2/12/2025 17:51,anonymous,,UAE Curriculum,Scientific,Chemistry;,Below 5.0 (IELTS) / Below 500 (TOEFL-PBT) / Below 61 (TOEFL- IBT),Arts,Corporate professional,Creative,Research,Neutral,Mostly with technology,Yes,Yes,Practical,A mix of both,Projects,Somewhat uncomfortable,Yes,Structured,No,Outdoors,Neutral,Important,No,BACHELOR OF ARTS IN INTERIOR DESIGN
74,2/12/2025 17:51,2/12/2025 17:51,anonymous,,UAE Curriculum,Scientific,Physics;Business;,Below 5.0 (IELTS) / Below 500 (TOEFL-PBT) / Below 61 (TOEFL- IBT),Arts,Entrepreneur / Startup founder,Creative,Startup,Neutral,A mix of both,Yes,Yes,A mix of both,Mostly team-based,Projects,Somewhat comfortable,No,Flexible,No,Lab,Very predictable,Not important,Yes,BACHELOR OF ARTS IN INTERIOR DESIGN
75,2/12/2025 17:51,2/12/2025 17:51,anonymous,,UAE Curriculum,Literary,Physics;Biology;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Technology,Entrepreneur / Startup founder,Creative,Startup,Somewhat important,Mostly with technology,Yes,No,Practical,Mostly team-based,Projects,Somewhat uncomfortable,No,Flexible,No,Outdoors,Somewhat predictable,Not important,No,BACHELOR OF SCIENCE IN ARTIFICIAL INTELLIGENCE
76,2/12/2025 17:52,2/12/2025 17:52,anonymous,,UAE Curriculum,Scientific,Math;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Arts,Entrepreneur / Startup founder,Creative,Freelance,Somewhat important,Mostly with technology,Yes,Yes,Practical,Mostly team-based,Research,Somewhat uncomfortable,Yes,Flexible,Yes,Office,Very predictable,Very important,Yes,BACHELOR OF ARTS IN MASS COMMUNICATION
77,2/12/2025 17:53,2/12/2025 17:54,anonymous,,UAE Curriculum,Scientific,Computer Science;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Arts,Entrepreneur / Startup founder,Creative,Corporate,Very Important,Mostly with technology,Yes,Yes,Practical,Mostly individual,Research,Somewhat uncomfortable,Yes,Flexible,Yes,Outdoors,Somewhat predictable,Not important,No,BACHELOR OF ARTS IN INTERIOR DESIGN
78,2/12/2025 17:54,2/12/2025 17:54,anonymous,,Non-UAE Curriculum,Literary,Biology;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Technology,Freelancer / Independent worker,Technical,Freelance,Very Important,Mostly with technology,Yes,Yes,Theoretical,A mix of both,Projects,Somewhat uncomfortable,No,Structured,Yes,Office,Very predictable,Somewhat important,Yes,BACHELOR OF SCIENCE IN COMPUTER SCIENCE
79,2/12/2025 17:54,2/12/2025 17:54,anonymous,,Non-UAE Curriculum,Scientific,Physics;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Business,Freelancer / Independent worker,Creative,Startup,Neutral,Mostly with technology,No,No,Theoretical,Mostly team-based,Projects,Somewhat comfortable,Yes,Structured,Yes,Lab,Somewhat dynamic,Important,Yes,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION
80,2/12/2025 17:55,2/12/2025 17:55,anonymous,,UAE Curriculum,Scientific,Biology;None;Media;,Below 5.0 (IELTS) / Below 500 (TOEFL-PBT) / Below 61 (TOEFL- IBT),Business,Entrepreneur / Startup founder,Business-oriented,Startup,Important,Mostly with technology,Yes,Yes,Practical,Mostly team-based,Exams,Somewhat uncomfortable,No,Structured,No,Lab,Very dynamic,Important,No,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION
81,2/12/2025 17:55,2/12/2025 17:55,anonymous,,UAE Curriculum,Literary,Computer Science;,Below 5.0 (IELTS) / Below 500 (TOEFL-PBT) / Below 61 (TOEFL- IBT),Business,Entrepreneur / Startup founder,Technical,Corporate,Somewhat important,Mostly with technology,No,Yes,Practical,Mostly individual,Projects,Very uncomfortable,No,Structured,Yes,Lab,Neutral,Very important,No,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION
82,2/12/2025 17:55,2/12/2025 17:56,anonymous,,UAE Curriculum,Scientific,Physics;Media;Business;Computer Science;,Above 6.0 (IELTS) / Above 550 (TOEFL-PBT) / Above 79 (TOEFL- IBT),Engineering,Corporate professional,Creative,Research,Very Important,Mostly with technology,Yes,Yes,Theoretical,Mostly individual,Projects,Very comfortable,Yes,Structured,Yes,Lab,Neutral,Important,Yes,BACHELOR OF SCIENCE IN COMPUTER ENGINEERING
83,2/12/2025 17:56,2/12/2025 17:56,anonymous,,UAE Curriculum,Literary,Chemistry;Media;,Below 5.0 (IELTS) / Below 500 (TOEFL-PBT) / Below 61 (TOEFL- IBT),Business,Freelancer / Independent worker,Creative,Corporate,Neutral,Mostly with technology,Yes,Yes,Theoretical,Mostly team-based,Projects,Somewhat uncomfortable,No,Structured,Yes,Outdoors,Somewhat predictable,Very important,No,BACHELOR OF ARTS IN MASS COMMUNICATION
84,2/12/2025 17:57,2/12/2025 17:57,anonymous,,UAE Curriculum,Literary,Biology;Business;Math;,Above 6.0 (IELTS) / Above 550 (TOEFL-PBT) / Above 79 (TOEFL- IBT),Business,Freelancer / Independent worker,Technical,Research,Not important,A mix of both,No,No,Practical,A mix of both,Research,Somewhat comfortable,Yes,Structured,No,Office,Somewhat predictable,Important,Yes,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION
85,2/12/2025 17:54,2/12/2025 17:57,anonymous,,UAE Curriculum,Scientific,Physics;Chemistry;Math;Biology;Arts;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Engineering,Corporate professional,Creative,Freelance,Important,A mix of both,Yes,Yes,A mix of both,Mostly individual,Projects,Very comfortable,No,Flexible,Yes,Lab,Neutral,Somewhat important,Yes,BACHELOR OF SCIENCE IN COMPUTER ENGINEERING
86,2/12/2025 17:57,2/12/2025 17:58,anonymous,,UAE Curriculum,Scientific,Chemistry;,Above 6.0 (IELTS) / Above 550 (TOEFL-PBT) / Above 79 (TOEFL- IBT),Arts,Entrepreneur / Startup founder,Business-oriented,Startup,Important,Mostly with technology,No,Yes,Theoretical,A mix of both,Projects,Neutral,Yes,Structured,No,Outdoors,Neutral,Very important,Yes,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION
87,2/12/2025 17:58,2/12/2025 17:58,anonymous,,UAE Curriculum,Scientific,Biology;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Arts,Corporate professional,Creative,Corporate,Neutral,A mix of both,No,Yes,Practical,A mix of both,Research,Very comfortable,Yes,Structured,No,Lab,Somewhat predictable,Very important,Yes,BACHELOR OF SCIENCE IN BIOTECHNOLOGY
88,2/12/2025 17:58,2/12/2025 17:59,anonymous,,Non-UAE Curriculum,Literary,Business;,Above 6.0 (IELTS) / Above 550 (TOEFL-PBT) / Above 79 (TOEFL- IBT),Technology,Corporate professional,Business-oriented,Freelance,Very Important,Mostly with people,No,Yes,Theoretical,Mostly team-based,Research,Somewhat uncomfortable,Yes,Structured,Yes,Office,Very predictable,Somewhat important,No,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION
89,2/12/2025 18:04,2/12/2025 18:07,anonymous,,UAE Curriculum,Scientific,Physics;Chemistry;Biology;Math;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Science,Researcher,Technical,Research,Important,A mix of both,Yes,Yes,A mix of both,A mix of both,Projects,Neutral,Yes,Structured,Yes,Lab,Neutral,Important,Yes,BACHELOR OF SCIENCE IN BIOTECHNOLOGY
90,2/12/2025 18:32,2/12/2025 18:34,anonymous,,UAE Curriculum,Scientific,Chemistry;Physics;Biology;Math;Business;,Above 6.0 (IELTS) / Above 550 (TOEFL-PBT) / Above 79 (TOEFL- IBT),Science,Researcher,Technical,Research,Very Important,A mix of both,Yes,Yes,A mix of both,Mostly individual,Exams,Somewhat comfortable,Yes,Structured,Yes,Lab,Very predictable,Somewhat important,Yes,BACHELOR OF SCIENCE IN BIOTECHNOLOGY
91,2/12/2025 19:00,2/12/2025 19:03,anonymous,,UAE Curriculum,Scientific,Physics;Chemistry;Biology;Math;,Above 6.0 (IELTS) / Above 550 (TOEFL-PBT) / Above 79 (TOEFL- IBT),Technology,Corporate professional,Creative,Corporate,Very Important,A mix of both,Yes,No,A mix of both,A mix of both,Research,Somewhat comfortable,Yes,Flexible,Yes,Remote,Very dynamic,Very important,Yes,BACHELOR OF SCIENCE IN COMPUTER SCIENCE
92,2/12/2025 19:12,2/12/2025 19:13,anonymous,,UAE Curriculum,Scientific,Physics;Chemistry;Biology;Computer Science;Math;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Technology,Corporate professional,Creative,Corporate,Somewhat important,A mix of both,Yes,Yes,A mix of both,A mix of both,Research,Neutral,Yes,Structured,Yes,Office,Somewhat predictable,Somewhat important,Yes,BACHELOR OF SCIENCE IN COMPUTER SCIENCE
93,2/12/2025 19:19,2/12/2025 19:22,anonymous,,UAE Curriculum,Scientific,Physics;Chemistry;Biology;Math;Computer Science;,Below 5.0 (IELTS) / Below 500 (TOEFL-PBT) / Below 61 (TOEFL- IBT),Technology,Entrepreneur / Startup founder,Technical,Research,Very Important,A mix of both,Yes,Yes,A mix of both,A mix of both,Research,Neutral,Yes,Flexible,Yes,Office,Neutral,Important,No,BACHELOR OF SCIENCE IN COMPUTER SCIENCE
94,2/12/2025 19:17,2/12/2025 19:25,anonymous,,UAE Curriculum,Scientific,Math;Biology;Chemistry;Physics;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Technology,Freelancer / Independent worker,Business-oriented,Freelance,Very Important,A mix of both,Yes,Yes,Practical,A mix of both,Projects,Very comfortable,No,Flexible,Yes,Outdoors,Neutral,Very important,Yes,BACHELOR OF SCIENCE IN COMPUTER SCIENCE
95,2/12/2025 19:31,2/12/2025 19:35,anonymous,,Non-UAE Curriculum,Scientific,Physics;Chemistry;Biology;Math;Computer Science;,Above 6.0 (IELTS) / Above 550 (TOEFL-PBT) / Above 79 (TOEFL- IBT),Science,Researcher,Business-oriented,Corporate,Somewhat important,A mix of both,Yes,Yes,A mix of both,Mostly individual,Projects,Neutral,Yes,Flexible,Yes,Outdoors,Neutral,Not important,Yes,BACHELOR OF SCIENCE IN BIOTECHNOLOGY
96,2/12/2025 19:39,2/12/2025 19:40,anonymous,,UAE Curriculum,Scientific,Math;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Science,Researcher,Technical,Research,Not important,Mostly with people,Yes,Yes,Theoretical,A mix of both,Exams,Very uncomfortable,Yes,Structured,Yes,Office,Very predictable,Not important,Yes,BACHELOR OF SCIENCE IN BIOTECHNOLOGY
97,2/12/2025 19:38,2/12/2025 19:41,anonymous,,UAE Curriculum,Scientific,Physics;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Science,Researcher,Technical,Research,Somewhat important,A mix of both,Yes,Yes,A mix of both,A mix of both,Exams,Somewhat comfortable,Yes,Structured,Yes,Lab,Neutral,Somewhat important,Yes,BACHELOR OF SCIENCE IN BIOTECHNOLOGY
98,2/12/2025 19:38,2/12/2025 19:43,anonymous,,Non-UAE Curriculum,Advanced,Physics;Chemistry;Biology;Math;Computer Science;Business;Arts;,Above 6.0 (IELTS) / Above 550 (TOEFL-PBT) / Above 79 (TOEFL- IBT),Engineering,Freelancer / Independent worker,Technical,Corporate,Very Important,A mix of both,Yes,Yes,Practical,A mix of both,Projects,Somewhat comfortable,Yes,Structured,Yes,Office,Very dynamic,Somewhat important,Yes,BACHELOR OF SCIENCE IN COMPUTER ENGINEERING
99,2/12/2025 19:27,2/12/2025 19:43,anonymous,,UAE Curriculum,Literary,Arts;Media;,Above 6.0 (IELTS) / Above 550 (TOEFL-PBT) / Above 79 (TOEFL- IBT),Engineering,Researcher,Creative,Freelance,Very Important,A mix of both,Yes,Yes,A mix of both,A mix of both,Projects,Very comfortable,Yes,Structured,Yes,Office,Very dynamic,Somewhat important,No,BACHELOR OF SCIENCE IN COMPUTER ENGINEERING
100,2/12/2025 19:44,2/12/2025 19:46,anonymous,,UAE Curriculum,Literary,Math;Computer Science;,Below 5.0 (IELTS) / Below 500 (TOEFL-PBT) / Below 61 (TOEFL- IBT),Business,Corporate professional,Business-oriented,Corporate,Important,Mostly with people,Yes,Yes,Practical,Mostly team-based,Projects,Somewhat uncomfortable,Yes,Structured,Yes,Outdoors,Very predictable,Important,Yes,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION
101,2/12/2025 19:41,2/12/2025 19:48,anonymous,,UAE Curriculum,Scientific,Physics;Chemistry;Biology;Math;Computer Science;Business;Arts,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Business,Entrepreneur / Startup founder,Business-oriented,Freelance,Very Important,A mix of both,Yes,Yes,Practical,Mostly team-based,Projects,Somewhat comfortable,Yes,Flexible,Yes,Office,Somewhat dynamic,Very important,Yes,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION
102,2/12/2025 19:49,2/12/2025 19:55,anonymous,,UAE Curriculum,Scientific,Physics;Chemistry;Biology;Math;Computer Science,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Business,Corporate professional,Business-oriented,Corporate,Very Important,A mix of both,Yes,Yes,A mix of both,A mix of both,Projects,Neutral,Yes,Flexible,Yes,Office,Neutral,Important,Yes,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION
103,2/12/2025 19:53,2/12/2025 19:57,anonymous,,UAE Curriculum,Literary,Math;Chemistry;Business,Below 5.0 (IELTS) / Below 500 (TOEFL-PBT) / Below 61 (TOEFL- IBT),Technology,Researcher,Technical,Research,Important,A mix of both,Yes,Yes,Theoretical,A mix of both,Projects,Somewhat comfortable,Yes,Flexible,Yes,Remote,Somewhat dynamic,Important,Yes,BACHELOR OF SCIENCE IN ARTIFICIAL INTELLIGENCE
104,2/12/2025 19:54,2/12/2025 19:58,anonymous,,UAE Curriculum,Scientific,Physics;Chemistry;Biology;Math,Above 6.0 (IELTS) / Above 550 (TOEFL-PBT) / Above 79 (TOEFL- IBT),Technology,Corporate professional,Business-oriented,Freelance,Very Important,A mix of both,Yes,Yes,A mix of both,A mix of both,Projects,Somewhat comfortable,Yes,Structured,Yes,Office,Neutral,Very important,Yes,BACHELOR OF SCIENCE IN COMPUTER SCIENCE
105,2/12/2025 19:59,2/12/2025 20:02,anonymous,,UAE Curriculum,Scientific,Computer Science;Media,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Science,Researcher,Creative,Research,Very Important,Mostly with technology,Yes,Yes,A mix of both,Mostly team-based,Projects,Somewhat comfortable,Yes,Flexible,Yes,Office,Very predictable,Important,Yes,BACHELOR OF SCIENCE IN BIOTECHNOLOGY
106,2/12/2025 20:03,2/12/2025 20:05,anonymous,,UAE Curriculum,Scientific,Physics,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Technology,Corporate professional,Technical,Research,Very Important,A mix of both,Yes,Yes,A mix of both,A mix of both,Research,Somewhat comfortable,Yes,Structured,Yes,Outdoors,Neutral,Very important,Yes,BACHELOR OF SCIENCE IN COMPUTER SCIENCE
107,2/12/2025 20:09,2/12/2025 20:10,anonymous,,UAE Curriculum,Literary,Chemistry,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Science,Corporate professional,Business-oriented,Freelance,Important,Mostly with people,Yes,Yes,Theoretical,Mostly team-based,Projects,Neutral,Yes,Flexible,No,Office,Very predictable,Somewhat important,No,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION
108,2/12/2025 20:26,2/12/2025 20:30,anonymous,,UAE Curriculum,Scientific,Math,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Technology,Corporate professional,Business-oriented,Corporate,Very Important,A mix of both,Yes,Yes,A mix of both,A mix of both,Projects,Neutral,Yes,Flexible,Yes,Office,Neutral,Important,Yes,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION
109,2/12/2025 20:30,2/12/2025 20:33,anonymous,,UAE Curriculum,Scientific,Biology;Physics;Chemistry,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Business,Entrepreneur / Startup founder,Business-oriented,Corporate,Important,A mix of both,Yes,Yes,A mix of both,A mix of both,Projects,Somewhat comfortable,Yes,Structured,Yes,Office,Somewhat dynamic,Important,Yes,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION
110,2/12/2025 20:31,2/12/2025 20:37,anonymous,,UAE Curriculum,Scientific,Physics;Chemistry;Biology;Math;Computer Science,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Science,Freelancer / Independent worker,Technical,Corporate,Neutral,A mix of both,Yes,Yes,Practical,A mix of both,Projects,Neutral,Yes,Flexible,Yes,Remote,Neutral,Very important,Yes,BACHELOR OF SCIENCE IN COMPUTER SCIENCE
111,2/12/2025 20:30,2/12/2025 20:37,anonymous,,UAE Curriculum,Literary,Biology;Physics,Below 5.0 (IELTS) / Below 500 (TOEFL-PBT) / Below 61 (TOEFL- IBT),Arts,Freelancer / Independent worker,Creative,Research,Very Important,A mix of both,Yes,Yes,Practical,Mostly individual,Projects,Neutral,Yes,Flexible,Yes,Lab,Neutral,Important,No,BACHELOR OF SCIENCE IN BIOTECHNOLOGY
